row	stimulus	all_responses
13	a,aa,ab,aaa,aaaa	aaaaa:44,bbbb:6,aaab:5,aaaaaa:3,cccc:3,aabb:2,aaaab:2,ababab:2,bbbbb:2,abbb:2,abba:1,baaa:1,acc:1,aaaaaabbcc:1,aabaab:1,aaabbb:1,aaaabaaa:1,aaaac:1,aaaabb:1,ac:1,abc:1
14	a,aa,ab,aaa,aaaa,aabb	aaabbb:19,aaaaaa:10,aaabb:7,bbaa:5,aaaaa:4,aabba:4,aabbc:4,aaaab:4,aabbaa:4,aabbb:3,aabbbb:2,abbb:2,ababab:2,bbcc:1,aaaaaaaaaaaaaaab:1,abababbbba:1,abab:1,aabc:1,aaaaabbb:1,bbb:1,abbba:1,aaabbbb:1,ccbb:1,aac:1,abbbabb:1
15	a,aa,ab,aaa,aaaa,aabb,aaaaa	aaaaaa:25,aaabbb:13,bbbbb:9,aaaaaaa:5,aabbb:5,aaabb:3,bbbb:3,aaaaabb:2,aaaabb:2,aabaa:1,abaabba:1,aaabbc:1,aaaaaaaaaaaaaaaaaaaaaa:1,aaabbbb:1,aabaababba:1,ababab:1,abaaabb:1,aaaabbb:1,ccccc:1,aaaaabbb:1,aaaabab:1,aaaab:1,aaaaaac:1,aabbcc:1
16	a,aa,ab,aaa,aaaa,aabb,aaaaa,aaabbb	aaaaaaa:22,aaaabbbb:16,aaaaaa:12,aaaabbb:4,bbbaaa:2,aaabbbaaa:2,aaaaaaaa:2,bbbccc:2,abbba:1,aaabbbbbb:1,bbbaaaa:1,aabbbb:1,aaabb:1,aaababbbaab:1,aaabbc:1,bbbbb:1,cccbbb:1,aaabbba:1,bbbbbb:1,aabbbc:1,aaaaabbbbb:1,aaabbbb:1,baba:1,aabbba:1,aaaaab:1,aaba:1,aaaabb:1,cccaaa:1
17	a,aa,ab,aaa,aaaa,aabb,aaaaa,aaabbb,aaaaaa	aaaabbbb:30,aaaaaaa:13,bbbbbb:5,aaaaaaaa:4,aaabbbb:3,aaaabbb:3,bbbbb:2,aaaabb:2,bbbbbbb:2,aaaabbbbb:2,aaaaaaaaa:2,aaaaaaaaaaa:1,aaaaaaab:1,aaaaaab:1,bababa:1,aaaaabbbbc:1,aaababbab:1,aaaaabbbbb:1,aaaaaabbbb:1,aaaaaabbb:1,cccccc:1,aaaaaaaabb:1,aaaabbbbaaa:1,aaaaabb:1,aaaaaaabbb:1
18	a,aa,ab,aaa,aaaa,aabb,aaaaa,aaabbb,aaaaaa,aaaaaaa	aaaaaaaa:22,aaaaabbbbb:11,aaaabbbb:7,aaaabbbbb:6,aaaaaaaaa:5,bbbbbbb:3,aaaaaaaaaaa:3,aaaabbbba:2,ccccccc:2,aaaaabbbb:2,aaaaaabb:2,aaabaaa:1,aaaaaaaaaa:1,aaaaaab:1,aaaabbb:1,aaaaaaab:1,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa:1,bbbbbbbb:1,bbaabab:1,ababac:1,aaaaaabbbbbb:1,aaaaaaabbbbbb:1,aaaaab:1,aaaabbbc:1,aaabbba:1,aaaabb:1,aaaaaaaaab:1,aaabbbb:1
19	a,b	c:63,ab:8,bb:7,aa:3,cc:1,abc:1,aab:1
20	a,b,aa	bb:63,aaa:6,aab:3,aabb:3,abaa:2,ab:2,ccacaca:1,aba:1,abb:1,bc:1,bbc:1
21	a,b,aa,bb	aaa:45,cc:17,bbb:6,aabb:3,aba:3,ac:1,bab:1,abaabb:1,aab:1,ba:1,ccc:1,abc:1,aabbaabb:1,bbaa:1,ab:1
22	a,b,aa,bb,bab	aba:39,baba:7,bbb:4,cab:3,bba:3,baab:3,babb:3,cac:3,aca:2,aaaa:2,cbc:2,abab:2,bbbbbb:1,bcb:1,aabaa:1,aabb:1,babbb:1,babc:1,cba:1,babababa:1,aaa:1,aaaaaaaaaaaaaaaaaaaaaaaaaaa:1,ba:1
23	a,b,aa,bb,bab,bba	bbb:17,aab:14,abb:12,bbaa:9,ccb:3,aabb:2,ab:2,aba:2,cca:2,bbabba:2,bbba:2,bbab:2,abc:1,baba:1,bbcc:1,bbbaa:1,baa:1,aaaaab:1,bbc:1,abab:1,aabaa:1,bbaaa:1,babab:1,bbaabb:1,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa:1,aabc:1,bbac:1
24	a,b,aa,bb,bab,bba,aaab	bbba:15,aabb:10,aaaab:7,aaabb:5,bbbc:5,aaba:4,aaabbb:4,baaa:2,abbb:2,bbab:2,bbaaa:2,abab:2,aabaa:1,abaa:1,bbc:1,aaac:1,aabbb:1,baba:1,aaaabbb:1,baab:1,aabba:1,aaaabaaaa:1,aaabaaab:1,abbba:1,aaaba:1,bbbb:1,baabb:1,aaaabb:1,aaabbbb:1,abbbb:1,caab:1,aaabaab:1,ccc:1,cac:1,aaaa:1,aba:1
25	a,b,aa,bb,bab,bba,aaab,bbaa	aabb:17,bbbaaa:6,baba:5,bbba:5,aaabb:4,ccbb:3,baaa:3,aabbb:3,aaaab:3,bbaab:3,abbaa:2,bbaaa:2,ccaa:2,ababa:2,baaab:2,bbbaa:2,abab:1,bbcc:1,babbb:1,aabbbab:1,abba:1,aaabbb:1,bababa:1,bbaaaaab:1,aabbaa:1,bbaaaa:1,abbab:1,aaaaa:1,aaaaabbbb:1,abaab:1,bbaabbaa:1,aacc:1,caa:1,aaaaaaaaba:1,bbaaaab:1,aab:1
26	a,b,aa,bb,bab,bba,aaab,bbaa,aaabb	bbbaa:22,bbbaaa:10,aaabbb:9,bbaaa:8,aaaabbb:3,aaabbbb:3,aaaabbbb:2,bbabb:2,aabbb:2,aaaab:2,bbbcc:2,baa:2,aaaba:1,bbcca:1,aaaabb:1,ccbbaa:1,baab:1,bbbab:1,aaaabbab:1,bbbbaa:1,bbaabb:1,abbabab:1,aabbbb:1,ababa:1,baaab:1,aaac:1,aaabbaaabb:1,baba:1,aaabba:1
27	a,b,aa,bb,bab,bba,aaab,bbaa,aaabb,aabbb	abbbb:9,aaabbb:6,bbbaaa:5,aabbbb:5,bbaaa:5,aaabbbb:4,bbbaa:4,aaaabbbb:4,abbbbb:4,aaaabb:3,abb:3,bbba:2,bbaaaa:2,bbccc:2,bbbbaaa:2,aaaabbb:2,bbbaaaa:2,aabbbbb:2,abbbbbb:1,abbb:1,aaaa:1,babab:1,babba:1,bbbbb:1,aabbbaabbb:1,ababaaab:1,aaaba:1,bbbba:1,ccaaa:1,bbbaaabbbaaaa:1,baabbaa:1,bbaab:1,aaabbc:1,aabbba:1,abbbcc:1,bbbbaaaaa:1
28	aa	bb:105,aaa:74,a:16,ab:12,aab:10,aaaa:7,aabb:6,cc:5,aac:2,aabbcc:2,abb:1,cab:1,baab:1,aaaaaaaaaaaa:1,cabcbcabcbac:1,ccbbbcbcbca:1,aabaa:1,aacc:1
29	aa,aaaa	aaaaaa:42,aaaaa:14,aaa:5,bbbb:5,aaaaaaaa:5,aaaaaaa:2,cccc:2,cc:2,aaaaaaaaa:1,aabaa:1,b:1,aaaaba:1,a:1
30	aa,aaaa,aaaaaa	aaaaaaaa:50,aaaaaaa:16,aaaaa:3,aaaaaaaaaaaa:2,cccccc:2,aaa:2,bbbbbb:2,aaaaaaaaaa:1,a:1,aaaaaaaaa:1,aaac:1,bbbbb:1
31	aa,aaaa,aaaaaa,aaaaaaaa	aaaaaaaaaa:53,aaaaaaaaa:10,aaaaaaaaaaa:3,aaaaa:2,aaaaaaaaaaaaa:2,bbbbbbbb:2,acccaaa:1,aaaaaaaaaaaaaaaa:1,aaaaaaaaaaaaaaaaa:1,aaaaaaa:1,cccccccc:1,ccccccccccc:1,aabb:1,bbbbb:1,bbbbbb:1,aaaaaaaaaaaa:1
32	aa,aaaa,aaaaaa,aaaaaaaa,aaaaaaaaaa	aaaaaaaaaaaa:53,aaaaaaaaaaa:11,aaaaaaaaaaaaa:4,aaaaaaaaaaaaaa:3,bbbbbbbbbb:2,ccacacaaa:1,aaaaaaaaaaaaaaaaaaa:1,aaaaaaaaa:1,cccccccccc:1,bbbbbbbbbbb:1,aaaaaaa:1,aaaaaaaaaaaaaaaaa:1,ccccc:1,bbbbbbb:1
33	aa,aaaa,aaaaaa,aaaaaaaa,aaaaaaaaaa,aaaaaaaaaaaa	aaaaaaaaaaaaaa:52,aaaaaaaaaaaaa:7,aaaaaaaaaaaaaaaa:7,aaaaaaaaaaaaaaa:3,bbbbbbbbbbbb:2,acaacaaa:1,aaaaaaaaaaaaaaaaaaaaaa:1,abaaaaaa:1,aaaaaaaaaaa:1,cccccccccccc:1,aaaaaaaaaaaaaaaaaa:1,bbbbbbbbbbbbbb:1,aaaaaaaaa:1,aaaaaaaaaaaaaaaaaaaa:1,cccbbbaa:1,bbbbbbbbbbb:1
34	aa,aaaa,aaaaaa,aaaaaaaa,aaaaaaaaaa,aaaaaaaaaaaa,aaaaaaaaaaaaaa	aaaaaaaaaaaaaaaa:47,aaaaaaaaaaaaaaa:9,aaaaaaaaaaaaaaaaaa:6,aaaaaaaaaaaaa:4,bbbbbbbbbbbbbb:3,aaaaaaaaaaaaaaaaa:2,aaaaaaaaaaaaaaaaaaaaa:2,cacccaaaa:1,aaaaaaaaaaaaaaaaaaaaaaaa:1,cccccccccccccc:1,aaaaaaaaaaaaaaaaaaaaaaaaa:1,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa:1,ccccccccccccccccccccccc:1,aaaaaaaaaaaaaaaaaaa:1,bbbbbbbbbbbbbbbbbb:1,aaaaaaaaaaaaaaaaaaaa:1
35	aa,aaaa,aaaaaa,aaaaaaaa,aaaaaaaaaa,aaaaaaaaaaaa,aaaaaaaaaaaaaa,aaaaaaaaaaaaaaaa	aaaaaaaaaaaaaaaaaa:50,aaaaaaaaaaaaaaaaa:10,aaaaaaaaaaaaaaaaaaaa:5,aaaaaaaaaaaaaaaaaaaaa:2,aaaaaaaaaaaaaaaaaaaaaa:2,bbbbbbbbbbbbbbbb:2,ccacaaaaa:1,aaaaaaaaaaaaaaaaaaaaaaaaaaaaa:1,aaaaaaaaaaaaaaa:1,aaaaaaaaaaaaaaaaaaa:1,cccccccccccccccc:1,aaaaaaaaaaaaaaaaaaaaaaaaaaa:1,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa:1,bbbbbbbbbbbbbbbbbbbbbbbbb:1,aaaaaaaaaaaaaaaaaaaaaaa:1,ccccccccccccccccc:1,bbbbbbbbbbbbbbbbbb:1
36	aa,aaaa,aaaaaa,aaaaaaaa,aaaaaaaaaa,aaaaaaaaaaaa,aaaaaaaaaaaaaa,aaaaaaaaaaaaaaaa,aaaaaaaaaaaaaaaaaa	aaaaaaaaaaaaaaaaaaaa:46,aaaaaaaaaaaaaaaaaaa:9,aaaaaaaaaaaaaaaaaaaaaa:8,aaaaaaaaaaaaaaaaaaaaa:3,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaa:2,aaaaaaaaaaaaaaaaa:2,bbbbbbbbbbbbbbbbbb:2,caaaaa:1,cccccccccccccccccc:1,aaaaaaaaaaaaaaaaaaaaaaaaaaaaa:1,ccccccccccccccccccccccccccccccc:1,aaaaaaaaaaaaaaaaaaaaaaaaaaaa:1,aaaaaaaaaaaaaaaaaaaaaaa:1,aaaaaaaaaaaaaaaaaaaaaaaaaa:1,bbbbbbbbbb:1,bbbbbbbbbbbbbbbbbbb:1,aaaaaaaaaaaaaaaaaaaaaaaa:1
37	aa,aaaa,aaaaaa,aaaaaaaa,aaaaaaaaaa,aaaaaaaaaaaa,aaaaaaaaaaaaaa,aaaaaaaaaaaaaaaa,aaaaaaaaaaaaaaaaaa,aaaaaaaaaaaaaaaaaaaa	aaaaaaaaaaaaaaaaaaaaaa:41,aaaaaaaaaaaaaaaaaaaaa:11,aaaaaaaaaaaaaaaaaaaaaaaa:8,aaaaaaaaaaaaaaaaaaaaaaaaa:3,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa:2,aaaaaaaaaaaaaaaaaaaaaaa:2,aaaaaaaaaaaaaaaaaaaaaaaaaaa:2,bbbbbbbbbbbbbbbbbbbb:2,acaaaaacc:1,aaaaaaaaaaaaaaaaaaa:1,cccccccccccccccccccc:1,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa:1,aaaaaaaaaaaaaaaaaaaaaaaaaaaa:1,bbbbbbbbbbbbbbbbbbbbbbbbbbbb:1,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa:1,aaaaaaaaaaaaaaaaaaaaaaaaaaaaa:1,aaaaaaaaaaaaaaaaaaaaaaaaaa:1,cccccccccccccccccc:1,bbbbbbbb:1
38	aa,ab	ac:34,abc:16,bc:8,aba:5,aaaa:3,aabb:3,ba:3,abab:2,bb:1,b:1,aab:1,baa:1,cabcabcbcbabacabcbcb:1,aaaaaaa:1,bbaa:1,cc:1,bbb:1
39	aa,ab,aaab	aaaab:17,aaabb:10,aab:8,aabb:7,aaaaab:3,bbbc:3,abb:3,aaabbb:2,aaabaaa:2,baaa:2,aaac:2,aaaa:2,abbb:2,abaab:1,abca:1,aacb:1,aaabaa:1,aaabbc:1,bb:1,aaa:1,cccb:1,aaabc:1,abab:1,aba:1,aabbb:1,aaaba:1,aaaaa:1,aabbc:1,aaabaaab:1,abba:1,aaaabb:1,aaaabc:1,cccc:1
40	aa,ab,aaab,aaaa	bbbb:18,aaaab:13,aaaaa:12,aabb:6,aaaaab:5,aaaabb:4,aaa:4,aaaaac:2,aab:2,aaaaaa:1,aabbbb:1,aaabaaaa:1,aaaaaaaa:1,aaabb:1,aaabbb:1,aaaabbbb:1,aabaa:1,bb:1,cc:1,aba:1,aaaaaaaaaa:1,bbabaa:1,aaac:1,aaabcaba:1,aaaccc:1,bbba:1
41	aa,ab,aaab,aaaa,aaaaab	aaaaaa:14,aaaaaab:14,aaaaa:12,aaaaabb:6,aaaaaaa:3,bbbbbc:3,aaaaaaabb:2,aaaabb:2,aaaaaaab:2,baaaaa:2,bbbba:2,aaccbb:1,abbabbb:1,abaaaa:1,aabb:1,aaaab:1,aabaab:1,aaaaaabb:1,bb:1,bbbbba:1,aaaaaba:1,ba:1,aaaabc:1,aaaaaaaaab:1,abbabba:1,aaaaac:1,aaaaabaaaaab:1,cccc:1,aaaac:1,bbbbbba:1,aaabbbccc:1,aaabb:1
42	aa,ab,aaab,aaaa,aaaaab,aaaaaa	aaaaaaab:25,aaaaaab:16,aaaaaaa:10,bbbbbb:5,aaaaaaaab:3,bbbbb:3,aaaaabb:2,aaaaaaaa:2,aaaaaaaabb:1,aaaabc:1,acbbaaaa:1,aaabbcc:1,bbb:1,cccccc:1,aaaaabbb:1,aacc:1,ccccc:1,aab:1,aaaabb:1,aaaaaaaaa:1,abbababa:1,aaaaa:1,baaaaaa:1,aaaaaabcabca:1,aabbcc:1
43	aa,ab,aaab,aaaa,aaaaab,aaaaaa,aaaaaaab	aaaaaaaa:28,aaaaaaa:17,aaaaaaaab:4,bbbbbbbc:3,aaaaaaaaa:3,aaaaaaabb:2,aaaaaaac:2,aaaaaab:1,aaaaaacb:1,aaaabc:1,aaaaaaaaaa:1,aaaaaaabbb:1,aaaaaaaaaab:1,aaaab:1,aab:1,cccccca:1,abaaaaa:1,bba:1,baaaaaa:1,aaaaaaaba:1,baa:1,aaabb:1,aaaaaaaaaaaa:1,aaaaaaaaaaa:1,aaaaaaabaaaaaaab:1,aaabbb:1,baaaaaaaa:1,abababababa:1,bbbbbbba:1,aabb:1,bbbbbaa:1
44	aa,ab,aaab,aaaa,aaaaab,aaaaaa,aaaaaaab,aaaaaaaa	aaaaaaaab:26,aaaaaaaaab:24,aaaaaaaaa:7,bbbbbbbb:5,aaaaaaaaaab:3,bbbbbbb:3,aaaaaaabb:2,aaaaabbbb:1,abbabbaba:1,aaaaaaaaaaa:1,abababab:1,aaaaaaaaaa:1,aaaaaaa:1,ccacacacacaca:1,baaa:1,aabb:1,aaaaaaaaaaaaab:1,baaaaab:1,aaaaaaaaaaab:1,aabbccc:1
45	aa,ab,aaab,aaaa,aaaaab,aaaaaa,aaaaaaab,aaaaaaaa,aaaaaaaaaa	aaaaaaaaaab:16,aaaaaaaaaaa:12,aaaaaaaaab:10,aaaaaaaaaaab:8,aaaaaaaaa:7,aaaaaaaaaaaa:5,aaaaaaaabb:2,bbbbbbbbbb:2,aaaaaaaaaaaaab:2,aaaaaaaaaaaaaaab:2,aaaaaaaaaaaabb:1,bbbbbbca:1,acccccccc:1,aaaaa:1,aaaaaaaaaaaaaaaaaaaaaaaaaa:1,ccccccccc:1,bbbbbbbb:1,aaaaaaaaaaaaaaa:1,cccabacacabcac:1,abaa:1,aaabbb:1,bbbbbbbbb:1,baaaaaaaaaaaaaaaaaa:1,aaaaaaaaaaaaaaaaaaa:1,bbbbbbbbbbbb:1,aabaa:1,aaaaaaaaaac:1
46	aa,ab,aaab,aaaa,aaaaab,aaaaaa,aaaaaaab,aaaaaaaa,aaaaaaaaaa,aaaaaaaaab	aaaaaaaaaaa:24,aaaaaaaaaaaa:14,aaaaaaaaaab:8,aaaaaaaaaaab:5,bbbbbbbbbc:2,aaaaaaaaa:2,aaaaaaaaaaaab:2,aaaaaaaaaaaaaaaaa:2,aaaaaaaabbb:1,cccccccab:1,ccaaaaaaa:1,aaaaaaaaaaaaaa:1,aaaaaaaaaaabb:1,aaaaaaaaaabb:1,aaaaaab:1,aaaaaaaaaaaaaaab:1,abaaaaaaa:1,aaaaaaaaaaaaab:1,baabbbb:1,ccacabbcacacbcbababcab:1,aaaaaaaaaba:1,bb:1,aaabbbbbb:1,aaaaaaaaaaaaaab:1,aaaaaaaaabaaaaaaaab:1,bbbbbbbbc:1,aaaaaaaaabb:1,bababababababa:1,aaaaaaaaaaac:1,bbbbbbbbbbbba:1,acbbaa:1,aaaaaba:1
47	aa,cc	bb:37,aaa:7,ab:6,ac:5,ccc:3,bbb:3,acac:2,aacc:2,ba:2,bc:2,cac:1,aca:1,c:1,abba:1,cba:1,aabbcc:1,cbcbcbabccbaaabcc:1,ca:1,aaaa:1,aaaaaacccc:1,aac:1,aab:1,aabb:1
48	aa,cc,bcb	aca:14,aba:13,acb:5,bab:4,abc:4,bcbc:4,cbc:3,cac:3,bca:3,aaa:2,bac:2,cba:1,bcbcb:1,ac:1,abcb:1,bbb:1,cbcbc:1,acc:1,b:1,ccc:1,aac:1,abca:1,bbcbb:1,aaaa:1,bacba:1,cb:1,bbbccc:1,aaccbcbcacac:1,bcba:1,accbccbcbcaaaacbbbbabacc:1,bbc:1,bbbaac:1,acac:1,ab:1,abcba:1,bcbb:1
49	aa,cc,bcb,ccc	bbb:22,aaa:12,cccc:5,aca:5,aba:2,bcbc:2,ccb:2,bab:2,cbc:2,aaaa:2,bccb:2,bcccb:1,ccccc:1,cba:1,aabb:1,aacaa:1,acbb:1,abbcbb:1,baab:1,bbbb:1,bb:1,c:1,cacac:1,aaccbcbccccaaa:1,ccca:1,bcbcbcbcbcaacbacaacbbaaaaaabababab:1,cca:1,abcba:1,cbaa:1,cccaab:1,acb:1,caa:1,abab:1,bcbcb:1,ababa:1
50	aa,cc,bcb,ccc,cacc	cbcc:6,babb:5,bcbb:5,bacc:4,caca:3,caccc:3,aaa:3,cccc:3,aaaa:2,ccacc:2,abaa:2,cabcc:2,caac:2,bcccbb:1,bcc:1,aab:1,cbbc:1,cccb:1,cacca:1,bbbb:1,acca:1,cb:1,caccccab:1,bcbbb:1,ccac:1,babbb:1,acbacb:1,bacbb:1,bbaa:1,bacb:1,bca:1,cbca:1,cac:1,bcac:1,babab:1,aaccbcbcccccaccacaa:1,caccb:1,cbcbcaccbbbaccbcbac:1,babcb:1,ccb:1,aaacca:1,cbbcc:1,baccc:1,ccaa:1,acaa:1,caaac:1,bcccb:1,bba:1,bab:1,acb:1,caacc:1,cacac:1,cacb:1
51	aa,cc,bcb,ccc,cacc,cbac	cbacc:7,cabc:5,abca:4,bacb:3,cbabc:3,bcac:3,baca:3,ccbc:3,cbaca:2,cbbac:2,aabbcc:2,cca:2,acbca:1,cbabb:1,cbaa:1,bcaa:1,bcba:1,acacc:1,cbbb:1,abbca:1,bbac:1,cccac:1,cabca:1,cbbc:1,bacca:1,bcab:1,cbca:1,aaaaa:1,cba:1,aaccbca:1,aaaa:1,cccc:1,bbb:1,abcac:1,caaccc:1,ccac:1,cbbaacc:1,abbc:1,cbaac:1,aaccbcbcccccacccbacacbc:1,cbacb:1,cbcaaccabcbcbcbcacbabcbaabacbaccabcbcbcabca:1,cccca:1,cabcc:1,aaaccbbbb:1,bcbbc:1,ccbb:1,cabaa:1,cabac:1,ccb:1,ccacb:1,cacb:1,abbba:1,aaba:1,acbac:1
52	aa,cc,bcb,ccc,cacc,cbac,bbaab	ccbbc:4,ccaac:4,aabba:3,ccccc:2,aacca:2,bbaabb:2,abbaba:2,ccbba:2,bbaabc:2,aaaaa:2,bbccb:2,bcaab:2,cabca:1,ccbbab:1,bbabb:1,bacbaa:1,ccaab:1,abca:1,bbaaab:1,acac:1,baba:1,bbacb:1,abcabab:1,cbbabbb:1,bcacb:1,aaccbab:1,ccaabb:1,bbaaabb:1,cbbcc:1,babbbb:1,abcb:1,aabbbaab:1,ca:1,ccaacc:1,bbaaca:1,bab:1,aacccb:1,ccbc:1,abcc:1,bbbaaabb:1,bbbccb:1,aacc:1,ccabc:1,aac:1,cbaab:1,aaccbcbcccccacccbacbbaabaabbb:1,aaaabcacbacbcbcacbaabbbccacbabaabcb:1,bbaacc:1,aabbcc:1,bbc:1,bbaabba:1,abcabc:1,aabb:1,cacbabba:1,bbbabb:1,abbaab:1,aab:1,abba:1,baab:1,ccaaac:1,ccaba:1,abbb:1,cbacba:1,abaa:1,abccc:1
53	aa,cc,bcb,ccc,cacc,cbac,bbaab,ababa	bcbcb:4,ababab:3,acaca:3,babab:3,ababc:2,aabbaabbaa:2,cbcbc:2,ababca:2,cabac:2,acbbca:1,abcaaa:1,abaabaaba:1,cccc:1,cbcbcbca:1,cababa:1,bacaa:1,ccbccc:1,babaa:1,acbc:1,cabaa:1,abacccc:1,abbccba:1,bcbcbca:1,abbba:1,babacc:1,cbcbcb:1,cbcbca:1,cbacca:1,baaaaa:1,baaca:1,accbba:1,caca:1,abcaba:1,abababb:1,caacccc:1,ccccc:1,abccba:1,bab:1,cbababc:1,abbaac:1,cbaaba:1,aabbcc:1,acbab:1,cba:1,ccbb:1,aaccbcbccccacccbacbbaababababcab:1,baccbbbcccaaccacbbbbabbcccaacc:1,bababc:1,bababa:1,aaac:1,cccccc:1,abaca:1,cacacaca:1,aababa:1,cacac:1,abacaaca:1,ababaa:1,cabaca:1,ccaabb:1,abcba:1,cacba:1,baba:1,bcbcbcb:1,acbaa:1,baaaac:1,cabcab:1,acabac:1,caba:1
54	aa,cc,bcb,ccc,cacc,cbac,bbaab,ababa,bacabb	cbabcc:3,cabacc:3,bbacabb:3,bacabba:3,baccab:2,bacab:2,bacabbb:2,abcbaa:2,acabcc:1,bccaacc:1,bbaaccaba:1,cbacba:1,acabacc:1,babca:1,cbabaa:1,cababb:1,bacaaa:1,bcbab:1,ccccccc:1,bbcacabb:1,bccaba:1,cbacbacba:1,baaccabbb:1,baacb:1,cbaccbac:1,baccaca:1,caaaa:1,bacacc:1,caccc:1,abbbac:1,cabc:1,abaccbb:1,cccaaccccc:1,bbb:1,bbcab:1,bacccaa:1,acaca:1,cabbac:1,abccabb:1,bbacabbb:1,bacabbbb:1,ccbcc:1,bbacab:1,bbaacabb:1,acb:1,baccbb:1,bac:1,cababa:1,ccaabb:1,aaccbcbccccacccbacbbaabababbacabbccabb:1,bcabcbcccbbccbccbcaaaabaaccba:1,bbaacca:1,cabacab:1,ccba:1,aaaaaaaaaaa:1,bccaabba:1,bababababa:1,bacaba:1,acabacaa:1,bcabbba:1,acabacca:1,bbaacc:1,caac:1,acbcaa:1,bcabca:1,bbbbbbac:1,ccabacc:1,bbccbb:1,abbacac:1,bacac:1
